ITEM_NUMBER,DESCRIPTION,SALES_UOM,PACK_CODE,CONVERSION_FACTOR,LENGTH,WIDTH,HEIGHT,UOM_WEIGHT
0000452,EndoSutGERDTherOlympSutHndl,EA,NA,1,1.0,1.0,1.0,1
0000454,EndoSutGERDTherEndoOvrtb,EA,NA,1,1.0,1.0,1.0,1
0000459,EndoSutGERDTherPentaxSutHndl,EA,NA,1,1.0,1.0,1.0,1
0000600,ENDOCINCH SUTURING KIT,EA,NA,1,1.0,1.0,1.0,1
000130,PulmMicrobBrsh,EA,NA,1,1.0,1.0,1.0,1
000210,SERVICE POOL UNIT,EA,NA,1,1.0,1.0,1.0,1
000210C,OPTION C OWNERSHIP XFER,EA,NA,1,1.0,1.0,1.0,1
000210CO,CUSTOMER OWNED UNIT,EA,NA,1,1.0,1.0,1.0,1
000210I,UROTRACK MONITOR EUROPE,EA,NA,1,1.0,1.0,1.0,1
000220C,OPTION C OWNERSHIP XFER,EA,NA,1,1.0,1.0,1.0,1
000220CO,CUSTOMER OWNED UNIT,EA,NA,1,1.0,1.0,1.0,1
000220J,UROTRACK MONITOR (JAPAN),EA,NA,1,1.0,1.0,1.0,1
000220N,UROTRACK MONITORS (NEW),EA,NA,1,1.0,1.0,1.0,1
000223,JAPAN (220J) SERVICE POOL,EA,NA,1,1.0,1.0,1.0,1
000224CO,CUSTOMER OWNED UNIT,EA,NA,1,1.0,1.0,1.0,1
000224J,UROTRACK 400 SERIES JAPAN,CA,NA,1,1.0,1.0,1.0,1
000225,SERVICE POOL UNIT,EA,NA,1,1.0,1.0,1.0,1
000225C,OPTION C OWNERSHIP XFER,EA,NA,1,1.0,1.0,1.0,1
000225CO,CUSTOMER OWNED UNIT,EA,NA,1,1.0,1.0,1.0,1
000225R,UROTRACK REFURB,EA,NA,1,1.0,1.0,1.0,1
000261E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000262E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000263E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000282E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000283E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000284E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000285E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000286E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000287E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000292E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000293E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
000296E,RSVDButtonKitENFit,EA,NA,1,1.0,1.0,1.0,1
0002A0129,PrinterPaper,EA,NA,1,1.0,1.0,1.0,1
000320,SERVICE POOL UNIT,EA,NA,1,1.0,1.0,1.0,1
000320C,OPTION C OWNERSHIP XFER,EA,NA,1,1.0,1.0,1.0,1
000320CO,CUSTOMER OWNED UNIT,EA,NA,1,1.0,1.0,1.0,1
000320R,UROTRACK REFURB,EA,NA,1,1.0,1.0,1.0,1
000322,PONSKY-GAUDERER PEG 20FR,CA,NA,2,1.0,1.0,1.0,1
000323,PEDIATRIC SILICONE PEG,CA,NA,2,1.0,1.0,1.0,1
000325,LUER CAP & PEG ADAPTER,CA,NA,10,1.0,1.0,1.0,1
000373,GENIE II W/SAFETY POLL PEG,EA,NA,1,1.0,1.0,1.0,1
000375,GENIE II W/SAFETY PUSH PEG,EA,NA,1,1.0,1.0,1.0,1
000390,DilatDispBalnInflSys,EA,NA,1,1.0,1.0,1.0,1
000391,DilatationDispManometer,EA,NA,1,1.0,1.0,1.0,1
000416,DualPortAdapw/Security14/16Fr,EA,NA,1,1.0,1.0,1.0,1
000420,DUALPRTADAPTRW/SECURITYCAP20FR,EA,NA,1,1.0,1.0,1.0,1
000420CO,CUSTOMER OWNED UNIT,EA,NA,1,1.0,1.0,1.0,1
000420N,UROTRACK MONITOR (NEW),EA,NA,1,1.0,1.0,1.0,1
000420R,UROTRACK REFURB,EA,NA,1,1.0,1.0,1.0,1
000424,DUAL PORT FEEDING ADAP 24 FR,EA,NA,1,1.0,1.0,1.0,1
000453,ENDOSUTURE KIT,EA,NA,1,1.0,1.0,1.0,1
000554,STD FASTRAC PULL INTL.,CA,NA,2,1.0,1.0,1.0,1
000556,STD FASTRAC GW INTL.,CA,NA,2,1.0,1.0,1.0,1
000633,WIZARD/GENIE II FEEDINGTUBEKIT,EA,NA,1,1.0,1.0,1.0,1
000634,GENIE II W/REPLACEMENT TUBE,EA,NA,1,1.0,1.0,1.0,1
000420N,WIZARD 16F X 1.2CM 10CC,EA,NA,1,1.0,1.0,1.0,1
000656,WIZARD 16F X 1.7CM 10CC,EA,NA,1,1.0,1.0,1.0,1
000657,WIZARD 16F X 2.4CM 10CC,EA,NA,1,1.0,1.0,1.0,1
000658,WIZARD 20F X 1.2CM 10CC,EA,NA,1,1.0,1.0,1.0,1
000659,WIZARD 20F X 1.7CM 10CC,EA,NA,1,1.0,1.0,1.0,1
000660,WIZARD 20F X 2.4CM 10CC,EA,NA,1,1.0,1.0,1.0,1
000661,WIZARD 20F X 3.4CM 10CC,EA,NA,1,1.0,1.0,1.0,1
000662,WIZARD 20F X 4.4CM 10CC,EA,NA,1,1.0,1.0,1.0,1
000677,CarotidBypassShuntStraight,CA,PP,5,1.0,1.0,1.0,1
000685,CarotidBypassShuntStraight,CA,PP,5,1.0,1.0,1.0,1
000698,GenieII Protective Cap,EA,NA,1,1.0,1.0,1.0,1
000741,PegGuidewireSystem,EA,NA,1,1.0,1.0,1.0,1
000742,TriFunlGtubeIRKitw/18frBalloon,EA,NA,1,1.0,1.0,1.0,1
000743,TriFunlGtubeIRKitw/20frBalloon,EA,NA,1,1.0,1.0,1.0,1
000871,20F X 1.7CM WIZARD,EA,NA,1,1.0,1.0,1.0,1
000872,20F X 2.4CM WIZARD,EA,NA,1,1.0,1.0,1.0,1
000873,20F X 3.4CM WIZARD,EA,NA,1,1.0,1.0,1.0,1
000874,20F X 4.4CM WIZARD,EA,NA,1,1.0,1.0,1.0,1
000875,GastrostomyDevice,EA,NA,1,1.0,1.0,1.0,1
000876,24F X 2.4CM WIZARD,EA,NA,1,1.0,1.0,1.0,1
000877,24F X 3.4CM WIZARD,EA,NA,1,1.0,1.0,1.0,1
000881,16F X 1.7CM WIZARD,EA,NA,1,1.0,1.0,1.0,1
000883,16F X 2.4CM WIZARD,EA,NA,1,1.0,1.0,1.0,1
000884,GastrostomyDevice,EA,NA,1,1.0,1.0,1.0,1
00100010,DigitalSubtractionAngioCath,EA,NA,1,1.0,1.0,1.0,1
00100040,"HF-STR. 4,0F- 65- 6",EA,NC,1,1.0,1.0,1.0,1
00100130,HF-SIM1.4 0F-100- 0,EA,NA,1,1.0,1.0,1.0,1
00100140,HF-SIM2.4 0F-100- 0,EA,NA,1,1.0,1.0,1.0,1
00100210,HF-COB3.4 0F- 90- 0,EA,NA,1,1.0,1.0,1.0,1
00101040,HF-DSA  STR-4-65,EA,NC,1,1.0,1.0,1.0,1
0010206,VentralMeshPatchElgOvlw/ePTFE,EA,PP,1,1.0,1.0,1.0,1
0010207,VentralMeshPatchElgOvlw/ePTFE,EA,PP,1,1.0,1.0,1.0,1
0010208,VentralMeshPatchElgOvlw/ePTFE,EA,PP,1,1.0,1.0,1.0,1
0010211J,JAPAN EIS FOR SMALL OVAL,EA,NA,1,1.0,1.0,1.0,1
0010212J,JAPAN EIS FOR LARGE OVAL,EA,NA,1,1.0,1.0,1.0,1
0010214,VENTRIO LARGE CIRCLE,EA,NC,1,1.0,1.0,1.0,1
0010215J,JAPAN EIS FOR MEDIUM OVAL,EA,NA,1,1.0,1.0,1.0,1
0010216,"8"" X 10"" OVAL VENTRIO XL",EA,NA,1,1.0,1.0,1.0,1
0010216J,JAPAN EIS FOR 8x10 OVAL,EA,NA,1,1.0,1.0,1.0,1
0010217J,JAPAN EIS FOR 10x13,EA,NA,1,1.0,1.0,1.0,1
0010218J,JAPAN EIS FOR 7x9 OVAL,EA,NA,1,1.0,1.0,1.0,1
0010219J,JAPAN EIS MIDLINE 6x10 OVAL,EA,NA,1,1.0,1.0,1.0,1
00110010,"HF-PIG. 5,0F- 65- 8",CA,NC,10,1.0,1.0,1.0,1
00110010J,"HF-PIG. 5,0F- 65- 8",EA,NC,1,1.0,1.0,1.0,1
00110020,DigitalSubtractionAngioCath,EA,NA,1,1.0,1.0,1.0,1
00110030,HFLODSAPIG5F110CM8S99-104,EA,NA,1,1.0,1.0,1.0,1
00110030J,"HF-PIG. 5,0F-110- 8",EA,NC,1,1.0,1.0,1.0,1
00110040,"HF-STR. 5,0F- 65- 6",EA,NC,1,1.0,1.0,1.0,1
00110050,"HF-STR. 5,0F- 90- 6",EA,NC,1,1.0,1.0,1.0,1
00110130,HF-SIM1.5 0F-100- 0,EA,NA,1,1.0,1.0,1.0,1
00110141,HF-SIM2.5 0F-100- 2,EA,NA,1,1.0,1.0,1.0,1
00110170,HF-COB1.5 0F- 90- 0,EA,NA,1,1.0,1.0,1.0,1
00110190,HF-COB2.5 0F- 90- 0,EA,NA,1,1.0,1.0,1.0,1
00110210,HF-COB3.5 0F- 90- 0,EA,NA,1,1.0,1.0,1.0,1
00110260,HF-REN. 5 0F- 65- 0,EA,NA,1,1.0,1.0,1.0,1
00110318,HF-VSL1.5 0F- 70- 0,EA,NA,1,1.0,1.0,1.0,1
001400,BiopsyInstrument,EA,NC,1,1.0,1.0,1.0,1
0015030,Arthroscopy Y-Outflow System,EA,NA,1,1.0,1.0,1.0,1
00200090,"MS-NIH. 5,0F-100- 4",EA,NA,1,1.0,1.0,1.0,1
00200100,"MS-VER. 5,0F-100- 2",EA,NA,1,1.0,1.0,1.0,1
00200130,"MS-HH3. 5,0F-100- 0",EA,NA,1,1.0,1.0,1.0,1
00200140,"MS-SIM1.5,0F- 65- 0",EA,NA,1,1.0,1.0,1.0,1
00200160,"M/SEL SIMMONS II 5F,100CM",EA,NA,1,1.0,1.0,1.0,1
00200170,"MS-SIM3.5,0F-100- 0",EA,NA,1,1.0,1.0,1.0,1
00200250,"MS-SHE2.5,0F- 65- 0",EA,NA,1,1.0,1.0,1.0,1
00200260,"MS-HOO1.5,OF- 65- 0",EA,NA,1,1.0,1.0,1.0,1
00200280,"MS-REN. 5,0F- 65- 0",EA,NA,1,1.0,1.0,1.0,1
00200300,"MS-JB2. 5,0F-100- 0",EA,NA,1,1.0,1.0,1.0,1
00208W,16F 1.2CM WIZARD 20CC BLN,EA,NA,1,1.0,1.0,1.0,1
00211W,20F 1.2CM WIZARD 20CC BLN,EA,NA,1,1.0,1.0,1.0,1
00226W,18F 1.2CM WIZARD 20CC BLN,EA,NA,1,1.0,1.0,1.0,1
00227W,18F 1.7CM WIZARD 20CC BLN,EA,NA,1,1.0,1.0,1.0,1
00228W,18F 2.4CM WIZARD 20CC BLN,EA,NA,1,1.0,1.0,1.0,1
00229W,18F 3.4CM WIZARD 20CC BLN,EA,NA,1,1.0,1.0,1.0,1
00230010,DigitalSubtractionAngioCath,EA,NA,1,1.0,1.0,1.0,1
00230025,DigitalSubtractionAngioCath,EA,NA,1,1.0,1.0,1.0,1
00230W,18F 4.4CM WIZARD 20CC BLN,EA,NA,1,1.0,1.0,1.0,1
00240020,Highflow DSA Flush Catheter,EA,NA,1,1.0,1.0,1.0,1
00240030,HSPIG,EA,NA,1,1.0,1.0,1.0,1
00240053,HF-STR. 5 0F-100- 8-RT,EA,NA,1,1.0,1.0,1.0,1
002853E,7F 110CM 1CM TRI DAMATO EZM,EA,NA,1,1.0,1.0,1.0,1
002904,ParsonnetPulseGeneratorPouch,CA,PP,5,1.0,1.0,1.0,1
002943E,6F 110CM 1CM QUAD STRAIGHT EZM,EA,NA,1,1.0,1.0,1.0,1
002943S,6F 110CM 1CM QUAD STR SURELINK,EA,PP,1,1.0,1.0,1.0,1
002944E,7F 110CM 1CM QUAD STRAIGHT EZM,EA,NA,1,1.0,1.0,1.0,1
002944S,7F 110CM 1CM QUAD STR SURELINK,EA,NA,1,1.0,1.0,1.0,1
00310060,"AX-NIH. 5,0F- 80- 4",EA,NA,1,1.0,1.0,1.0,1
00310490,"AX-HH1. 5,0F-100- 0",EA,NA,1,1.0,1.0,1.0,1
00310500,"AX-HH3. 5,0F-100- 0",EA,NA,1,1.0,1.0,1.0,1
00310650,"AX-SHE2.5,0F- 65- 0",EA,NA,1,1.0,1.0,1.0,1
00310670,"AX-HOO1.5,0F- 65- 0",EA,NA,1,1.0,1.0,1.0,1
00310680,"AX-HOO2.5,0F- 65- 0",EA,NA,1,1.0,1.0,1.0,1
00310770,"AX-COB1.5,0F- 90- 0",EA,NA,1,1.0,1.0,1.0,1
00320060,"AX-NIH. 6,0F- 80- 4",EA,NA,1,1.0,1.0,1.0,1
00320200,"AX-JL40.6,OF-100-0",EA,NA,1,1.0,1.0,1.0,1
00320230,"AX-JR35.6,0F-100- 0",EA,NA,1,1.0,1.0,1.0,1
00320240,"AX-JR40.6,OF-100-0",EA,NA,1,1.0,1.0,1.0,1
00320500,"AX-HH3. 6,0F-100- 0",EA,NA,1,1.0,1.0,1.0,1
00320570,"AX-HIL1.6,0F-100- 0",EA,NA,1,1.0,1.0,1.0,1
00320760,"AX-COB1.6,0F- 65- 2",EA,NA,1,1.0,1.0,1.0,1
004005,INTER 09-0000-1800 REV 2,EA,NA,1,1.0,1.0,1.0,1
004022,VELEX TUBE LOW POROSITY,EA,NA,1,1.0,1.0,1.0,1
004056,6110 6X6 POLYEST DBLVEL,EA,NA,1,1.0,1.0,1.0,1
004057,6111 6 X 6 VELOUR,EA,NA,1,1.0,1.0,1.0,1
004062,POLY.CUFF OEM 3.5 X 22MM,EA,NA,1,1.0,1.0,1.0,1
004063,DAVOL CUFF 6 3 X 22MM,EA,NA,1,1.0,1.0,1.0,1
004064,DAVOL CUFF 10 X 35MM,EA,NA,1,1.0,1.0,1.0,1
004080,6113 POLYESTER 15 X 18,EA,NA,1,1.0,1.0,1.0,1
004081,Polyester Fabric Felt OEM,EA,NA,1,1.0,1.0,1.0,1
004082,STENT COVER6103MOD,EA,NA,1,1.0,1.0,1.0,1
004086,KG1121 POLYESTER 16 X 24,EA,NA,1,1.0,1.0,1.0,1
004087,KG1121 12X24 VELOUR,EA,NA,1,1.0,1.0,1.0,1
004088,SORIN SM02-0008-015,EA,NA,1,1.0,1.0,1.0,1
004102,TUB MESH 6050 2MM-16N   *,EA,NA,1,1.0,1.0,1.0,1
004184,6010 10MM OEM           *,EA,NA,1,1.0,1.0,1.0,1
004185,6010 12MM OEM,EA,NA,1,1.0,1.0,1.0,1
004186,6010 14MM OEM,EA,NA,1,1.0,1.0,1.0,1
004187,6010 16MM OEM,EA,NA,1,1.0,1.0,1.0,1
004188,6010 18MM OEM,EA,NA,1,1.0,1.0,1.0,1
004189,6010 20MM OEM,EA,NA,1,1.0,1.0,1.0,1
004190,6010 22MM OEM,EA,NA,1,1.0,1.0,1.0,1
004191,6010 25MM OEM,EA,NA,1,1.0,1.0,1.0,1
004192,6010 30MM OEM,EA,NA,1,1.0,1.0,1.0,1
004193,OEM Grafts,EA,NA,1,1.0,1.0,1.0,1
004194,OEM ABIOMED 3100-0052,EA,NA,1,1.0,1.0,1.0,1
004195,12MM WOVEN CONDUIT,EA,NA,1,1.0,1.0,1.0,1
004224,8F MILLAR CATHETER 125CM,CA,NA,100,1.0,1.0,1.0,1
004300,MEDTRONIC 0100013001S,EA,NA,1,1.0,1.0,1.0,1
004301,MEDTRONIC 0100013501S,EA,NA,1,1.0,1.0,1.0,1
004302,MEDTRONIC 0101003-001-C,EA,NA,1,1.0,1.0,1.0,1
004305,6106 FABRIC 12 X 4 25,EA,NA,1,1.0,1.0,1.0,1
004306,THORATEC LABS,EA,NA,1,1.0,1.0,1.0,1
004308,BAXTER NOVACOR,EA,NA,1,1.0,1.0,1.0,1
004309,SAUVAGE FIL ROUND 6MM,EA,NA,1,1.0,1.0,1.0,1
004318,6113 TUBULAR FAB 18MM,EA,NA,1,1.0,1.0,1.0,1
004320,6113 TUBULAR FAB 20MM   *,EA,NA,1,1.0,1.0,1.0,1
004322,6113 TUBULAR FAB 22MM,EA,NA,1,1.0,1.0,1.0,1
004324,6113 TUBULAR FAB 24MM,EA,NA,1,1.0,1.0,1.0,1
004326,6113 TUBULAR FAB 26MM,EA,NA,1,1.0,1.0,1.0,1
004328,6113 TUBULAR FAB 28MM,EA,NA,1,1.0,1.0,1.0,1
004330,6113 TUBULAR FAB 30MM,EA,NA,1,1.0,1.0,1.0,1
004332,6113 TUBULAR FAB 32MM   *,EA,NA,1,1.0,1.0,1.0,1
004334,6113 TUBUALR FAB 34MM   *,EA,NA,1,1.0,1.0,1.0,1
004336,6113 TUBULAR FAB 36MM,EA,NA,1,1.0,1.0,1.0,1
004337,6113 TUBULAR FAB 16MM,EA,NA,1,1.0,1.0,1.0,1
004515,QUINTON 008775,EA,NA,1,1.0,1.0,1.0,1
004521,6115 5684 21MM TUB FAB,EA,NA,1,1.0,1.0,1.0,1
004523,TubularFabric,EA,NA,1,1.0,1.0,1.0,1
004525,TubularFabric,EA,NA,1,1.0,1.0,1.0,1
004527,TblrPlystrVelourFbrcStyle6115,EA,NA,1,1.0,1.0,1.0,1
004529,TblrPlystrVelourFbrcStyle6115,EA,NA,1,1.0,1.0,1.0,1
004531,TubularFabric,EA,NA,1,1.0,1.0,1.0,1
004533,6115 56132 33MM TUB FA,EA,NA,1,1.0,1.0,1.0,1
004535,OEM 6115 TUB PET 35MM,EA,NA,1,1.0,1.0,1.0,1
004636,6106 NONSTER OEM 6 X 6,EA,NA,1,1.0,1.0,1.0,1
004814,TUB WOVEN POLY FAB 14MM,EA,NA,1,1.0,1.0,1.0,1
004816,TUB WOVEN POLY FAB 16MM,EA,NA,1,1.0,1.0,1.0,1
004818,TUB WOVEN POLY FAB 18MM,EA,NA,1,1.0,1.0,1.0,1
004819,TUB WOVEN POLY FAB 19MM,EA,NA,1,1.0,1.0,1.0,1
004820,TUB WOVEN POLY FAB 20MM,EA,NA,1,1.0,1.0,1.0,1
004822,TUB WOVEN POLY FAB 22MM,EA,NA,1,1.0,1.0,1.0,1
004824,TUB WOVEN POLY FAB 24MM,EA,NA,1,1.0,1.0,1.0,1
004825,TUB WOVEN POLY FAB 25MM,EA,NA,1,1.0,1.0,1.0,1
004826,OEM 6010 WOVEN 26MM,EA,NA,1,1.0,1.0,1.0,1
0049180,NG TUBE LUBRICIOUS,EA,NA,1,1.0,1.0,1.0,1
004955,3206 PTFE FAB 6X6,EA,NA,1,1.0,1.0,1.0,1
004968,OEM PLEDGET 3/16 RND,EA,NA,1,1.0,1.0,1.0,1
004971,OEM PLEDGET 1 4 RND,EA,NA,1,1.0,1.0,1.0,1
004972,OEM PLEDGET 1 4 X 1 4,EA,NA,1,1.0,1.0,1.0,1
004980,OEM 3075 PTFE FELT 1X1,CA,PP,10,1.0,1.0,1.0,1
004983,OEM 3075 PTFE FELT 4X4,CA,PP,5,1.0,1.0,1.0,1
004984,3075 PTFE FELT 6X6,CA,PP,5,1.0,1.0,1.0,1
005306,SOFT WOV STR 6MMX20CM,EA,NA,1,1.0,1.0,1.0,1
005310,SOFT WOV STR 10MMX20CM,EA,NA,1,1.0,1.0,1.0,1
0054062,5.0FX40CM  6MMX2CM,EA,NA,1,1.0,1.0,1.0,1
0054064,BalloonCatheter,EA,NA,1,1.0,1.0,1.0,1
0054072,5.0FX40CM  7MMX2CM,EA,NA,1,1.0,1.0,1.0,1
0054074,BalloonCatheter,EA,NA,1,1.0,1.0,1.0,1
0054083,BalloonCatheter,EA,NA,1,1.0,1.0,1.0,1
0054084,5.0FX40CM  8MMX4CM,EA,NA,1,1.0,1.0,1.0,1
0054092,5.0FX40CM  9MMX2CM,EA,NA,1,1.0,1.0,1.0,1
0054094,5.0FX40CM  9MMX4CM,EA,NA,1,1.0,1.0,1.0,1
00554J,SINGLE FASTRAC PULL,EA,NA,1,1.0,1.0,1.0,1
00555J,FASTRAC PULL PEG KIT 20F,EA,NC,1,1.0,1.0,1.0,1
00556J,SINGLE FASTRAC GUIDEWIRE,EA,NA,1,1.0,1.0,1.0,1
00557J,FASTRAC GW PEG KIT 20F,EA,NC,1,1.0,1.0,1.0,1
0057588,BalloonCatheter,EA,NA,1,1.0,1.0,1.0,1
0058583,BalloonCatheter,EA,NA,1,1.0,1.0,1.0,1
006035,GastmyInitPlacDevPullPlacTech,CA,NA,1,1.0,1.0,1.0,1
006035EJ,RSVDPEGEnfit,EA,NA,1,1.0,1.0,1.0,1
006036,GastmyInitPlacDevGwPlacTech,EA,NC,1,1.0,1.0,1.0,1
006036EJ,RSVDPEGEnfit,EA,NA,1,1.0,1.0,1.0,1
006037,GastmyInitPlacDevIntroNdl,CA,NA,10,1.0,1.0,1.0,1
006200,.038 STR STD TAPER 145CM,EA,NA,1,1.0,1.0,1.0,1
006201,.038 STR LT TAPER 145CM,EA,NA,1,1.0,1.0,1.0,1
006203,.035 STR STD TAPER 145CM,EA,NA,1,1.0,1.0,1.0,1
006242,7F PACING ELECTRODE     *,EA,NA,1,1.0,1.0,1.0,1
006268,Steer Curve Tip,CA,NA,5,1.0,1.0,1.0,1
006591,175CM .016IN STRB,CA,NA,5,1.0,1.0,1.0,1
006645,175CM .016IN STRB S,EA,NA,1,1.0,1.0,1.0,1
007020,PTFE THICK PLEDGET 3 8,CA,PP,75,1.0,1.0,1.0,1
007044,Guidewire,EA,NA,1,1.0,1.0,1.0,1
007045,9265S.035 120 CTD SP GDE,EA,NA,1,1.0,1.0,1.0,1
007048,9275S.038 145 CTD SP GDE,EA,NA,1,1.0,1.0,1.0,1
00725J,GENIE LO PRO KIT MEDICON,CA,NA,2,1.0,1.0,1.0,1
00740420,ANGIOPAS COBRA 2 5F/65,EA,NA,1,1.0,1.0,1.0,1
007447B,.035 145 3MMJ MC CSG,CA,NA,10,1.0,1.0,1.0,1
007467,9270S.035 145 LT CORE TEF,EA,NA,1,1.0,1.0,1.0,1
007467B,.035 145 LT CORE TEF,CA,NA,10,1.0,1.0,1.0,1
007471B,.035 145 J-FIX 15 TC,CA,NA,10,1.0,1.0,1.0,1
00760800,ANGIOPASS/PLUS/MULTI/5F,EA,NA,1,1.0,1.0,1.0,1
00770180,"JUDKINS RIGHT40,6F,100CM",EA,NA,1,1.0,1.0,1.0,1
00770420,"COBRA2 6F,65CM",EA,NA,1,1.0,1.0,1.0,1
00770500,HEADHUNTER1 6F 100CM,EA,NA,1,1.0,1.0,1.0,1
00770800,MULTIPURPOSE 100CM 2 HOLE,EA,NA,1,1.0,1.0,1.0,1
007892,DEB LWO POR WOV 25MM,EA,NC,1,1.0,1.0,1.0,1
007938,DBKY DBL VELR 2X2 6110,EA,NA,1,1.0,1.0,1.0,1
008006,VasculourIIVascularProstStr,EA,NA,1,1.0,1.0,1.0,1
008440B,BH.038 145 3MMJ TEF SG,CA,NA,10,1.0,1.0,1.0,1
008627B,.035 175 3MMJ CTD SG,CA,NA,10,1.0,1.0,1.0,1
008628B,.038 175 3MMJ CTD SG,CA,NA,10,1.0,1.0,1.0,1
008631,.035 260 3MMJ CTD SG,EA,NA,1,1.0,1.0,1.0,1
008631B,.035 260 3MMJ CTD SG,CA,NA,10,1.0,1.0,1.0,1
008944,.035INX175CM 1.5MM J FC,EA,NA,1,1.0,1.0,1.0,1
008944B,.035INX175CM1.5MM J FC,CA,NA,10,1.0,1.0,1.0,1
008945B,.038INX175CM 1.5MM JFC,CA,NA,10,1.0,1.0,1.0,1
010003,.035 3MM J TC GDE WIRE LT,EA,NA,1,1.0,1.0,1.0,1
010003B,.035X145 3MM J SG W/LT,CA,NA,10,1.0,1.0,1.0,1
0100580,"CARTON, PORT",EA,NC,1,1.0,1.0,1.0,1
0100SI16,IC CARSON COUDE 2-WY 30CC,EA,NA,1,1.0,1.0,1.0,1
0100SI18,IC CARSON COUDE 2-WY 30CC,EA,NA,1,1.0,1.0,1.0,1
0100SI20,IC CARSON COUDE 2-WY 30CC,EA,NA,1,1.0,1.0,1.0,1
0100SI22,IC CARSON COUDE 2-WY 30CC,EA,NA,1,1.0,1.0,1.0,1
0100SI24,IC CARSON COUDE 2-WY 30CC,EA,NA,1,1.0,1.0,1.0,1
010803,X100 TUBULAR MESH 3MM,EA,NA,1,1.0,1.0,1.0,1
010807,X100 TUBULAR MESH 4MM,EA,NA,1,1.0,1.0,1.0,1
010808,X100 TUBULAR MESH 5 5MM,EA,NA,1,1.0,1.0,1.0,1
010809,X100 TUBULAR MESH 6MM,EA,NA,1,1.0,1.0,1.0,1
010810,X100 TUBULAR MESH 6MM,EA,NA,1,1.0,1.0,1.0,1
010812,X100 TUBULAR MESH 8.5MM,EA,NA,1,1.0,1.0,1.0,1
0113070,10Q SHORT 18CM SALUTE II,CA,NA,5,1.0,1.0,1.0,1
0113072,30Q SHORT 18CM,CA,NA,5,1.0,1.0,1.0,1
0113073,10Q LAP 38CM,CA,NA,5,1.0,1.0,1.0,1
0113079,50Q LAP 38 CM,CA,NA,5,1.0,1.0,1.0,1
0113080,Sorbafix Laparascopic Family,EA,NA,1,1.0,1.0,1.0,1
0113082,Sorbafix Laparascopic Family,CA,NA,5,1.0,1.0,1.0,1
0113092,12 Shot Lap Dispos Fix Device,EA,NA,1,1.0,1.0,1.0,1
